"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","17 anys",134
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","17 anys",109
2020,7,"Horta-Guinardó",34,"Can Baró","Home","17 anys",40
2020,7,"Horta-Guinardó",35,"el Guinardó","Home","17 anys",144
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","17 anys",39
2020,7,"Horta-Guinardó",37,"el Carmel","Home","17 anys",149
2020,7,"Horta-Guinardó",38,"la Teixonera","Home","17 anys",54
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","17 anys",49
2020,7,"Horta-Guinardó",40,"Montbau","Home","17 anys",19
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","17 anys",22
2020,7,"Horta-Guinardó",42,"la Clota","Home","17 anys",2
2020,7,"Horta-Guinardó",43,"Horta","Home","17 anys",139
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","17 anys",126
2020,8,"Nou Barris",45,"Porta","Home","17 anys",97
2020,8,"Nou Barris",46,"el Turó de la Peira","Home","17 anys",76
2020,8,"Nou Barris",47,"Can Peguera","Home","17 anys",11
2020,8,"Nou Barris",48,"la Guineueta","Home","17 anys",62
2020,8,"Nou Barris",49,"Canyelles","Home","17 anys",32
2020,8,"Nou Barris",50,"les Roquetes","Home","17 anys",88
2020,8,"Nou Barris",51,"Verdun","Home","17 anys",51
2020,8,"Nou Barris",52,"la Prosperitat","Home","17 anys",132
2020,8,"Nou Barris",53,"la Trinitat Nova","Home","17 anys",41
2020,8,"Nou Barris",54,"Torre Baró","Home","17 anys",17
2020,8,"Nou Barris",55,"Ciutat Meridiana","Home","17 anys",60
2020,8,"Nou Barris",56,"Vallbona","Home","17 anys",9
2020,9,"Sant Andreu",57,"la Trinitat Vella","Home","17 anys",62
2020,9,"Sant Andreu",58,"Baró de Viver","Home","17 anys",16
2020,9,"Sant Andreu",59,"el Bon Pastor","Home","17 anys",83
2020,9,"Sant Andreu",60,"Sant Andreu","Home","17 anys",229
2020,9,"Sant Andreu",61,"la Sagrera","Home","17 anys",117
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Home","17 anys",60
2020,9,"Sant Andreu",63,"Navas","Home","17 anys",101
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","17 anys",137
2020,10,"Sant Martí",65,"el Clot","Home","17 anys",117
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","17 anys",56
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","17 anys",46
2020,10,"Sant Martí",68,"el Poblenou","Home","17 anys",176
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","17 anys",69
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Home","17 anys",113
2020,10,"Sant Martí",71,"Provençals del Poblenou","Home","17 anys",87
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Home","17 anys",117
2020,10,"Sant Martí",73,"la Verneda i la Pau","Home","17 anys",116
